step	nb_steps	episode	duration	episode_steps	sps	episode_reward	reward_mean	reward_min	reward_max	action_mean	action_min	action_max	obs_mean	obs_min	obs_max	loss	mean_absolute_error	mean_q	maxscore	outer_deaths	inner_deaths	shell_deaths	resets	reset_vlners	isi_pre	isi_post	fortress_kills	raw_pnts	total
3619	54550000	1	13.8061043785	3619	262.130424396	55263.0	15.2702403979	-1012.0	99998.0	1.21166067975	0	2	68.3905533355	-200.0	516.458330865	1066371.56409	33.6817755499	452.959446249	100	0	46	2	38	3.58974358974	11.0291970803	1.66666666667	1	-5090	0
7268	54550000	2	12.5347681471	3649	291.110290767	367118.0	100.607837764	-1000.0	100000.0	1.33981912853	0	2	69.6283751681	-138.0	476.447860448	1.49441e+06	67.1814	1548.8	100	1	40	0	32	4.44444444444	9.38589211618	16.0285714286	4	-4136	0
10893	54550000	3	12.6714195964	3625	286.076865533	497857.0	137.339862069	-1000.0	100000.0	1.54096551724	0	2	71.4264276255	-261.0	519.38074406	2.72142e+06	106.996	4973.63	100	10	1	0	21	6.34615384615	5.05208333333	11.5882352941	5	-1028	82
14506	54550000	4	12.5405901447	3613	288.104463849	88652.0	24.5369499031	-1000.0	100000.0	1.16828120675	0	2	69.9266778174	-198.0	553.250096566	2.70054e+06	147.957	9212.78	100	13	1	0	44	3.97777777778	9.16803278689	25.0	1	-1776	0
18152	54550000	5	12.725591491	3646	286.509275626	396285.0	108.690345584	-1002.0	100000.0	1.12835984641	0	2	70.0698285247	-184.0	546.532264019	2.25477e+06	196.684	14612.6	100	8	3	0	53	4.15789473684	7.51118210863	3.84375	4	-1334	0
21797	54550000	6	12.6272665614	3645	288.66104808	192303.0	52.7580246914	-1002.0	100000.0	1.14842249657	0	2	69.548680753	-313.0	528.400047724	1.64714e+06	223.874	19352.9	100	12	1	0	47	4.08163265306	8.85714285714	3.6	2	-1628	0
25464	54550000	7	13.2261522773	3667	277.253726037	286173.0	78.0400872648	-1003.0	100000.0	0.983092446141	0	2	69.0164469573	-183.0	536.470490234	1.21752e+06	221.575	21710.5	100	8	9	2	48	3.86274509804	10.5	7.5	3	-2142	0
29117	54550000	8	12.5609820446	3653	290.821210239	-34882.0	-9.54886394744	-1000.0	100.0	0.721872433616	0	2	66.3878138714	-285.0	523.031688743	893915.0	215.163	22031.6	0	5	31	2	24	4.41666666667	26.3684210526	2.0	0	-4090	0
32736	54550000	9	12.4354240442	3619	291.023449393	60229.0	16.6424426637	-1002.0	100000.0	0.89748549323	0	2	67.2554209109	-245.0	515.878326971	785899.0	203.458	21560.7	100	4	40	3	23	3.91666666667	29.6438356164	10.625	1	-4846	0
36369	54550000	10	12.2847017382	3633	295.733675707	161559.0	44.4698596201	-1000.0	100000.0	0.851637764933	0	2	67.3376473392	-214.0	539.668932202	634945.0	182.152	20066.2	100	3	37	4	19	4.2380952381	25.2830188679	17.0	2	-4440	0
40027	54550000	11	12.2572476055	3658	298.435678035	77049.0	21.0631492619	-1006.0	100000.0	1.06533624932	0	2	68.273180985	-210.0	518.985064133	639668.0	175.229	18296.6	100	5	19	2	41	3.21428571429	13.6308411215	2.0	1	-2876	0
43659	54550000	12	12.7947892654	3632	283.865558444	190248.0	52.3810572687	-1003.0	100000.0	1.23650881057	0	2	68.5500395634	-201.0	521.129855798	613556.0	173.042	17086.2	100	8	4	0	42	3.84090909091	9.39055793991	1.25	2	-1452	0
