step	nb_steps	episode	duration	episode_steps	sps	episode_reward	reward_mean	reward_min	reward_max	action_mean	action_min	action_max	obs_mean	obs_min	obs_max	loss	mean_absolute_error	mean_q	mean_eps	maxscore	outer_deaths	inner_deaths	shell_deaths	resets	reset_vlners	isi_pre	isi_post	fortress_kills	raw_pnts	total
2728	1750000	1	3.72897397795	2728	731.568526927	509168.5	186.645344575	-1000.0	100056.5	0.520161290323	0	2	67.6815586813	-78.0	464.453771705	NA	NA	NA	NA	100	0	37	0	45	4.08333333333	13.6717325228	6.0	3	-3948	0
5456	1750000	2	3.40715794597	2728	800.667313715	596345.0	218.601539589	-1000.0	100027.5	0.586876832845	0	2	68.4199381103	-88.0	460.34019796	NA	NA	NA	NA	100	0	34	0	45	3.73469387755	13.9202657807	11.3636363636	4	-3520	0
8184	1750000	3	3.56047908376	2728	766.189025642	509141.0	186.63526393	-1001.0	100248.5	0.516862170088	0	2	68.1436084485	-76.0	475.944818562	NA	NA	NA	NA	100	0	28	1	50	3.82692307692	14.1635220126	6.5	2	-3250	0
10912	1750000	4	3.38650372342	2728	805.550568611	841524.5	308.476722874	-1005.0	100316.5	0.66495601173	0	2	68.3003298248	-72.0	470.05262018	NA	NA	NA	NA	100	0	31	0	46	3.98076923077	12.3664596273	8.625	6	-3116	0
13640	1750000	5	3.48039476704	2728	783.819130472	1043949.5	382.679435484	-1000.0	100235.5	0.649193548387	0	2	68.8354811501	-76.0	477.703370106	NA	NA	NA	NA	166	0	34	0	43	3.90196078431	12.5425867508	9.11111111111	8	-3194	0
16368	1750000	6	3.37551719132	2728	808.172450436	416975.0	152.850073314	-1001.0	100046.5	0.518328445748	0	2	67.7122775234	-100.0	474.839307735	NA	NA	NA	NA	100	0	35	1	43	4.17777777778	15.3066666667	4.625	2	-3918	0
19096	1750000	7	3.50468717341	2728	778.386162592	302354.0	110.833577713	-1007.0	100035.5	0.520527859238	0	2	67.4957837682	-102.0	486.751887774	NA	NA	NA	NA	100	0	38	0	52	3.49056603774	13.8851963746	6.0	1	-4220	0
21824	1750000	8	3.41642326775	2728	798.495908206	591718.0	216.90542522	-1000.0	100307.5	0.500366568915	0	2	67.3544582271	-78.0	485.970838899	NA	NA	NA	NA	100	0	29	0	43	4.52173913043	14.428115016	8.28571428571	3	-3152	0
24552	1750000	9	3.56417780359	2728	765.393914203	450450.5	165.121151026	-1007.0	100017.5	0.517228739003	0	2	67.7598063477	-86.0	488.590996423	NA	NA	NA	NA	100	1	30	1	43	4.31111111111	14.4774193548	8.5	2	-3512	0
27280	1750000	10	3.54064676548	2728	770.480700475	717674.0	263.076979472	-1000.0	100280.5	0.498167155425	0	2	68.0025446399	-62.0	470.632894981	NA	NA	NA	NA	100	0	22	1	50	4.01886792453	13.4259818731	8.28571428571	3	-2592	0
30008	1750000	11	3.80090099261	2728	717.724561967	380958.0	139.647360704	-1000.0	100035.5	0.470674486804	0	2	67.8437149355	-82.0	503.207103621	NA	NA	NA	NA	100	1	31	0	50	3.60784313725	15.7027027027	13.2	1	-3614	0
