step	nb_steps	episode	duration	episode_steps	sps	episode_reward	reward_mean	reward_min	reward_max	action_mean	action_min	action_max	obs_mean	obs_min	obs_max	loss	mean_absolute_error	mean_q	mean_eps	maxscore	outer_deaths	inner_deaths	shell_deaths	resets	reset_vlners	isi_pre	isi_post	fortress_kills	raw_pnts	total
2728	10910000	1	7.24127754464	2728	376.729103833	549284.5	201.350623167	-1003.0	716.5	1.17265395894	0	2	67.8277003409	-90.0	494.518674449	11896.6624701	41.2659309656	109.740067167	0.399902482126	0	1	19	0	113	2.19469026549	5.61330561331	NA	0	-2876	0
5456	10910000	2	5.42318342289	2728	503.025582444	395549.5	144.996151026	-1002.0	100143.5	1.14992668622	0	2	67.7154001669	-92.0	523.59160461	164789.636148	46.1123961731	148.367922657	0.399707589368	100	1	25	0	91	2.45652173913	5.8818380744	8.0	1	-3292	0
8184	10910000	3	5.45934359695	2728	499.693772989	480535.0	176.149193548	-1004.0	100158.5	1.00586510264	0	2	69.2726134206	-64.0	532.188446713	925409.583417	50.4780566196	133.311748225	0.399512553621	100	2	27	3	73	2.8	7.48655256724	7.6	2	-3690	0
10912	10910000	4	5.50600631622	2728	495.458930361	522619.0	191.575879765	-1000.0	100190.5	0.922653958944	0	2	69.2682104478	-100.0	548.557557539	1537160.83852	60.5271313799	174.495788885	0.399317517874	100	1	20	2	72	3.09459459459	8.52519893899	8.33333333333	2	-2772	0
13640	10910000	5	5.56929836661	2728	489.828308778	621843.0	227.948313783	-1002.0	100310.5	1.13306451613	0	2	68.7964574197	-94.0	541.368616009	1382919.97003	56.7761443773	273.665060597	0.399122482126	100	1	13	4	89	2.8	5.85995623632	16.0	1	-2508	0
16368	10910000	6	5.5254109672	2728	493.718931713	622525.5	228.198497067	-1005.0	100398.5	0.82917888563	0	2	70.1388048451	-98.0	536.152515803	925211.691235	48.4702941805	298.597506034	0.398927446379	100	2	18	5	64	3.4776119403	8.58015267176	9.66666666667	3	-2880	0
19096	10910000	7	5.48882071645	2728	497.01022149	380463.5	139.466092375	-1005.0	100150.5	0.700879765396	0	2	68.2334833193	-136.0	522.950723581	1840406.8779	65.0477266507	370.430581649	0.398732410632	100	1	25	2	80	2.64197530864	9.38277511962	9.0	1	-3380	0
21824	10910000	8	5.61126939486	2728	486.164503614	446927.0	163.829545455	-1001.0	100063.5	0.909457478006	0	2	69.5063418356	-78.0	532.620135399	1231597.64338	54.6326811432	400.405006811	0.398537374885	100	2	19	2	84	2.98823529412	7.21333333333	9.8	1	-2978	0
24552	10910000	9	5.69816837924	2728	478.750331411	620173.5	227.336326979	-1001.0	100615.5	1.11693548387	0	2	69.1365484926	-66.0	502.592090311	1993306.20173	65.8460534619	470.949404048	0.398342339138	132	1	26	1	89	2.6847826087	5.4132231405	13.125	3	-3330	0
27280	10910000	10	5.48222500239	2728	497.608178944	438742.0	160.829178886	-1004.0	100059.5	0.648093841642	0	2	69.0804091627	-84.0	541.070951377	2295812.5244	68.881009348	476.683565783	0.398147303391	100	2	26	2	76	2.87012987013	10.4285714286	11.6363636364	1	-3566	0
30008	10910000	11	5.473759298	2728	498.377778686	597013.5	218.846590909	-1002.0	100426.5	0.776759530792	0	2	68.6068204174	-108.0	539.833514805	2140689.10481	67.6974095208	471.743368691	0.397952267644	100	1	28	0	75	2.92307692308	8.26987951807	12.4285714286	3	-3344	0
32736	10910000	12	5.50509315618	2728	495.541114856	736932.5	270.136546921	-1002.0	100256.5	1.11986803519	0	2	69.0803645481	-72.0	477.428523089	1687005.56922	67.5448880797	584.752108487	0.397757231897	166	0	18	0	93	2.72916666667	5.21413721414	14.8888888889	3	-2380	0
35464	10910000	13	5.63105503114	2728	484.456284819	758407.0	278.008431085	-1002.0	100737.5	1.22250733138	0	2	68.9767012482	-64.0	542.197110629	3198166.27499	92.2359654547	619.081276745	0.39756219615	100	1	12	3	103	2.67619047619	4.88047808765	7.2	2	-2338	0
38192	10910000	14	5.56813854493	2728	489.930338117	543184.0	199.114369501	-1000.0	100550.5	1.3383431085	0	2	69.5175203894	-94.0	518.123138645	1685529.40433	67.970568903	569.500162656	0.397367160403	100	2	19	1	99	2.64	4.278978389	6.66666666667	1	-2994	0
40920	10910000	15	5.53813286479	2728	492.584787437	361976.5	132.689332845	-1002.0	100160.5	1.18255131965	0	2	69.3586067875	-88.0	523.193064058	2135134.76691	77.4758418718	648.052954442	0.397172124656	100	1	26	1	97	2.80612244898	4.85714285714	9.0	1	-3596	0
43648	10910000	16	5.52778120782	2728	493.507231462	567360.5	207.976722874	-1002.0	100057.5	1.22470674487	0	2	69.3822884566	-110.0	530.610140741	1232205.94127	60.423533957	688.295033743	0.396977088909	100	0	16	3	124	2.296	4.5197740113	6.88888888889	1	-2762	0
46376	10910000	17	5.6206575957	2728	485.35246162	582554.0	213.546187683	-1004.0	100134.5	1.20014662757	0	2	70.1982899465	-90.0	538.070828156	2138165.52098	81.1251650947	733.367971515	0.396782053162	100	3	19	2	102	2.75	4.6015037594	8.23529411765	2	-3158	0
49104	10910000	18	5.60948102272	2728	486.31949889	477830.5	175.157807918	-1002.0	100069.5	1.25219941349	0	2	70.3880931903	-66.0	535.094837968	1681760.18291	70.5787086207	719.616555446	0.396587017415	100	2	25	0	100	2.59803921569	4.26247689464	9.71428571429	2	-3432	0
51832	10910000	19	5.57698553581	2728	489.153142407	388685.5	142.480021994	-1003.0	516.5	1.27602639296	0	2	69.4803875298	-100.0	503.697256573	3354050.34622	99.8267190631	1077.73318088	0.396391981668	0	1	16	3	123	2.18699186992	4.25089605735	4.0	0	-2988	0
54560	10910000	20	5.59173885309	2728	487.862554327	532666.0	195.258797654	-1001.0	100194.5	1.42448680352	0	2	70.3165297971	-88.0	552.559066287	2886848.54523	99.6558570582	1250.59102928	0.396196945921	100	4	13	2	118	2.26050420168	3.47169811321	15.3333333333	1	-2774	72
57288	10910000	21	5.54815804897	2728	491.694716683	472550.5	173.222324047	-1004.0	100011.5	1.43914956012	0	2	70.4116430313	-128.0	552.185728213	921180.596284	64.3049317944	1173.43482931	0.396001910174	100	5	20	1	105	2.58490566038	3.40712945591	8.5	1	-3428	0
60016	10910000	22	5.52289887355	2728	493.943500046	520177.5	190.68090176	-1008.0	100111.5	1.3603372434	0	2	69.3740214726	-64.0	550.979588152	1827701.94721	85.3014408402	1220.46282127	0.395806874427	100	2	24	1	98	2.62	3.91050583658	11.6666666667	2	-3408	0
62744	10910000	23	5.67366515096	2728	480.817941739	441691.5	161.9103739	-1002.0	643.5	1.36840175953	0	2	68.95600168	-92.0	515.55139391	619705.075111	60.8184131192	1645.2459042	0.39561183868	0	1	18	3	114	2.37719298246	3.86131386861	NA	0	-3176	0
65472	10910000	24	5.49606003967	2728	496.355567499	310809.5	113.933101173	-1002.0	100000.0	1.56708211144	0	2	69.7864021323	-90.0	534.863161259	1365813.0278	74.0442495877	1661.18353701	0.395416802933	100	2	28	2	108	2.30275229358	2.88929889299	7.0	1	-3994	0
68200	10910000	25	5.53467387959	2728	492.892636378	499237.0	183.004765396	-1002.0	100042.5	1.48497067449	0	2	69.7055312261	-76.0	505.757267646	1513057.75045	77.1072592386	1663.33661676	0.395221767186	100	1	27	3	93	2.76595744681	3.5625	2.28571428571	1	-3842	0
70928	10910000	26	5.58335295985	2728	488.595297417	572027.0	209.687316716	-1004.0	100430.5	1.43365102639	0	2	70.0768768084	-92.0	546.005696259	1665763.94043	83.934555132	1674.85766637	0.395026731439	100	2	25	0	102	2.54807692308	3.90215264188	6.66666666667	2	-3392	0
73656	10910000	27	5.60537300721	2728	486.675908364	411579.5	150.872250733	-1002.0	722.5	1.43108504399	0	2	69.5712546007	-86.0	523.948544875	1518630.93337	83.7313532116	1788.74231566	0.394831695692	0	3	16	2	119	2.44537815126	3.5530726257	4.0	0	-3056	0
76384	10910000	28	5.5722342123	2728	489.570232705	356248.0	130.589442815	-1002.0	506.5	1.56268328446	0	2	69.7824408915	-96.0	508.754010246	1363612.55695	77.1983926331	1828.54267915	0.394636659945	0	4	17	0	109	2.54128440367	2.90706319703	NA	0	-3054	0
79112	10910000	29	5.52465712828	2728	493.786299612	215044.0	78.8284457478	-1003.0	517.5	1.39186217009	0	2	70.8032055592	-82.0	536.639886603	1506844.5219	86.4040163857	1804.94627349	0.394441624198	0	4	27	1	98	2.20408163265	4.10020876827	15.2727272727	0	-4004	0
81840	10910000	30	5.587346228	2728	488.246099074	351489.0	128.844941349	-1002.0	632.5	1.47507331378	0	2	69.9440587076	-100.0	518.827621429	1212982.52825	81.7963960485	1937.145703	0.394246588451	0	1	21	2	133	2.03759398496	3.17398945518	NA	0	-3386	0
