step	nb_steps	episode	duration	episode_steps	sps	episode_reward	reward_mean	reward_min	reward_max	action_mean	action_min	action_max	obs_mean	obs_min	obs_max	loss	mean_absolute_error	mean_q	mean_eps	maxscore	outer_deaths	inner_deaths	shell_deaths	resets	reset_vlners	isi_pre	isi_post	fortress_kills	raw_pnts	total
2728	10910000	1	5.7235669983	2728	476.625852517	611287.0	224.078812317	-1000.0	100018.5	1.00879765396	0	2	70.1378822141	-254.0	536.846837175	1225662.31687	46.8392506598	230.231451676	0.0999752454629	100	13	1	1	16	6.52941176471	17.3384615385	39.3333333333	1	-1670	0
5456	10910000	2	4.15919252799	2728	655.896542813	1409366.5	516.62994868	-1000.0	100735.5	1.8848973607	0	2	72.3050288557	-172.0	542.359169098	2300728.82264	78.5323880047	300.13507485	0.0999257726856	100	9	1	0	18	6.59090909091	2.16216216216	2.17021276596	4	-972	76
8184	10910000	3	4.62583718886	2728	589.731088368	2017105.0	739.407991202	-1000.0	101044.5	1.875	0	2	71.8496024631	-128.0	537.898922569	3693890.70526	117.072790705	456.625362676	0.0998762636114	142	3	4	0	16	7.33333333333	2.32954545455	2.08510638298	8	-334	0
10912	10910000	4	4.25326487846	2728	641.389633131	1104455.5	404.859054252	-1000.0	100520.5	1.87609970674	0	2	72.2943523475	-254.0	528.292130464	4463095.87252	132.00602744	673.497592244	0.0998267545371	100	8	4	1	16	8.15	2.30508474576	2.42105263158	4	-1292	0
13640	10910000	5	4.23753967217	2728	643.769784132	1372389.5	503.075329912	-1000.0	100281.5	1.86730205279	0	2	72.1911956551	-166.0	548.211932402	5207517.3391	147.99744017	1082.12877979	0.0997772454629	100	8	1	1	28	5.6875	2.15246636771	2.0	4	-1056	0
16368	10910000	6	4.23949971358	2728	643.472151032	1507002.0	552.420087977	-1000.0	101345.5	1.82258064516	0	2	69.9014745731	-76.0	488.306183498	4139753.67539	136.835340203	1101.97544364	0.0997277363886	100	2	9	0	22	8.33333333333	2.77142857143	2.21276595745	5	-1156	0
19096	10910000	7	4.52865461287	2728	602.386411241	1347422.5	493.923203812	-1000.0	100886.5	1.8332111437	0	2	71.1242085424	-112.0	521.533828845	6101731.89028	166.580818059	1156.04713901	0.0996782273144	100	3	5	2	25	8.1	2.43333333333	2.16666666667	5	-1080	0
21824	10910000	8	4.5821018824	2728	595.359961436	1269518.0	465.365835777	-1000.0	100348.5	1.55021994135	0	2	70.0439267006	-200.0	497.395898849	3537649.29841	133.697302625	1299.96857665	0.0996287182401	100	8	8	1	17	9.75	5.05940594059	4.2641509434	7	-1550	0
24552	10910000	9	4.19987091676	2728	649.543772671	1093404.0	400.807917889	-1000.0	100534.5	1.62939882698	0	2	70.3173107144	-132.0	488.657498031	4279448.14079	138.312806384	1477.67435149	0.0995792091659	100	1	47	1	31	6.15	4.4235924933	2.61764705882	9	-4614	0
27280	10910000	10	4.23943465997	2728	643.482025035	797215.5	292.234420821	-1001.0	100484.5	1.63416422287	0	2	71.3401572186	-120.0	544.049251715	5470161.19276	160.435004304	1498.53156932	0.0995297000917	100	3	41	1	23	7.96428571429	5.23684210526	2.60240963855	5	-4528	0
30008	10910000	11	4.22801684648	2728	645.219756462	715349.0	262.224706745	-1001.0	100112.5	1.51099706745	0	2	70.9210121694	-218.0	544.390722155	5298441.49618	158.939229109	1458.97245292	0.0994801910174	100	4	41	0	27	6.625	5.73860182371	2.5	5	-4524	0
32736	10910000	12	4.63023101865	2728	589.17146661	1058465.5	388.000549853	-1002.0	100497.5	1.58247800587	0	2	71.4147906083	-226.0	530.531098139	6925059.03626	195.79726646	1886.34335551	0.0994306819432	100	8	13	1	25	6.96774193548	4.86923076923	2.57627118644	6	-2138	0
35464	10910000	13	4.21402670451	2728	647.361820721	1122867.5	411.608321114	-1004.0	100337.5	1.57331378299	0	2	70.4534658037	-138.0	471.816593701	6877694.55862	192.859452804	1907.67225678	0.0993811728689	100	2	28	1	24	7.83870967742	5.13333333333	2.4347826087	7	-2972	0
38192	10910000	14	4.37206814487	2728	623.960997315	690179.5	252.99835044	-1003.0	100324.5	1.37390029326	0	2	70.8261723272	-68.0	549.557329695	6232360.34661	184.453801275	1878.17948309	0.0993316637947	100	1	56	0	37	5.79069767442	6.41362530414	2.46428571429	6	-5710	0
40920	10910000	15	4.41852215046	2728	617.40100131	1016224.0	372.516129032	-1002.0	100394.5	1.28848973607	0	2	69.8162562608	-196.0	518.054229476	9155515.44216	256.464170389	2267.31232835	0.0992821547204	100	5	20	0	37	5.55813953488	6.55487804878	4.9	6	-2538	0
43648	10910000	16	4.67142893284	2728	583.975489988	986673.0	361.683651026	-1000.0	100361.5	1.04215542522	0	2	70.8649666957	-156.0	536.588463382	6898228.71418	234.584951272	2801.16793456	0.0992326456462	100	2	25	1	37	6.09302325581	8.54658385093	4.03125	6	-2844	0
46376	10910000	17	4.24882557137	2728	642.059777267	392276.0	143.796187683	-1003.0	100218.5	0.990102639296	0	2	68.9140163228	-30.0	455.033341024	6236977.00227	218.720450617	2780.60849509	0.099183136572	100	0	70	0	41	5.15555555556	9.68205128205	3.6862745098	4	-7170	0
49104	10910000	18	4.11540933483	2728	662.874523054	366916.0	134.5	-1001.0	100036.5	1.06268328446	0	2	69.5215653407	-94.0	512.10754372	5238012.67666	203.576161438	2737.67450954	0.0991336274977	100	2	74	0	31	5.85714285714	10.4686648501	4.23529411765	4	-7706	0
51832	10910000	19	4.11766723749	2728	662.511039057	98974.0	36.2807917889	-1003.0	100025.5	0.855571847507	0	2	69.0401084443	-82.0	534.568249725	6215291.26948	214.18924038	2801.013388	0.0990841184235	100	1	67	0	34	5.71428571429	12.3495702006	6.22222222222	1	-7182	0
54560	10910000	20	4.26042439053	2728	640.311797591	458137.5	167.938966276	-1000.0	100055.5	0.888929618768	0	2	68.8272381145	-40.0	367.050744019	5193606.78249	187.660451481	2892.59845257	0.0990346093492	100	0	79	0	20	6.72	15.8417266187	7.27777777778	5	-7804	0
57288	10910000	21	4.31272207829	2728	632.547136234	143077.0	52.4475806452	-1000.0	100024.5	1.02236070381	0	2	68.8639864559	-50.0	359.0	5723255.87784	201.884035888	2957.22509264	0.098985100275	100	0	85	0	26	5.71428571429	14.5968253968	6.66666666667	2	-8690	0
60016	10910000	22	4.10340694231	2728	664.813419277	52359.0	19.1931818182	-1000.0	100061.5	0.838709677419	0	2	68.4955978763	-94.0	444.830791366	5124507.42388	198.688153913	2904.10880886	0.0989355912007	100	0	82	0	25	5.26923076923	16.1134751773	2.0	1	-8436	0
62744	10910000	23	4.24964868035	2728	641.935417536	352586.5	129.247250733	-1008.0	100308.5	0.501099706745	0	2	67.2104029705	-98.0	419.270896999	4404601.43066	185.464553397	3246.97191273	0.0988860821265	100	0	59	1	14	7.35294117647	25.0204081633	8.0	3	-5992	0
65472	10910000	24	4.12167466083	2728	661.866892582	308771.5	113.186033724	-1008.0	100060.5	0.543988269795	0	2	67.5355121709	-129.0	425.70010471	4819201.58452	188.836641871	3316.68197963	0.0988365730522	100	0	65	0	14	6.94117647059	27.7272727273	10.3076923077	3	-6488	0
